[2026-06-25T22:43:26.811469] 042660.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:26.811692] JAL | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:27.208678] 329180.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:27.834567] IAG | sufijo: — | ok (raw)
[2026-06-25T22:43:27.895597] C6L.SI | sufijo: — | ok (raw)
[2026-06-25T22:43:27.859507] UAL | sufijo: — | ok (raw)
[2026-06-25T22:43:27.895739] DAL.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:27.908370] AAL | sufijo: — | ok (raw)
[2026-06-25T22:43:27.908830] CEB | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:28.077755] 7012.T | sufijo: — | ok (raw)
[2026-06-25T22:43:28.332389] 0293.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:28.384593] AF.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:28.674706] ANA.MC | sufijo: — | ok (raw)
[2026-06-25T22:43:28.674818] AIRASIA | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:28.749408] QAN.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:28.906247] 7011.T | sufijo: — | ok (raw)
[2026-06-25T22:43:29.120750] RYAAY | sufijo: — | ok (raw)
[2026-06-25T22:43:29.585403] LUV | sufijo: — | ok (raw)
[2026-06-25T22:43:29.645023] EZJ | sufijo: — | ok (raw)
[2026-06-25T22:43:30.067007] JBLU | sufijo: — | ok (raw)
[2026-06-25T22:43:30.089174] WIZZ.L | sufijo: — | ok (raw)
[2026-06-25T22:43:30.100911] VLRS | sufijo: — | ok (raw)
[2026-06-25T22:43:30.101113] ZTO | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:30.640360] ULCC | sufijo: — | ok (raw)
[2026-06-25T22:43:30.642639] JETS | sufijo: — | ok (raw)
[2026-06-25T22:43:30.669780] SAVE.L | sufijo: — | ok (raw)
[2026-06-25T22:43:30.669903] MESA | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:30.797714] 5238.KL | sufijo: — | ok (raw)
[2026-06-25T22:43:31.052584] FDX.DE | sufijo: — | ok (raw)
